Action,Square Item,Square SKUs,Qty,Best Shopify Product,Score,Square Variations
ALIGN,Smoking Dog,"3741071,K851086,3669390,A556994,448454Y,D432634,453395V,875569B,R840442",75,via SKU,1.0,Mango Lemonade 100(3741071) | Blueberry Lemonade 100(K851086) | Raspberry Sweet Tea 100(3669390) | Orange Cream Puff 25(A556994) | Watermelon 25(448454Y) | Pink Lemonade 25(D432634) | Mango Madness 5(453395V) | Cherry Lime 5(875569B) | Yuzu Lime 5(R840442)
ALIGN,Rise - Mango Daytime Gummies - CBD + CBG + THC - 15 Count - Sativa,689745640544,73,via SKU,1.0,Regular(689745640544)
ALIGN,100MG Nerdz Clusterz,"NERDZ,H553853",65,via SKU,1.0,1 ct(NERDZ) | 50 ct(H553853)
ALIGN,"3,500mg CBD Oil Drops - Full Spectrum Refined Tincture - Orange Flavor",689745640964,64,via SKU,1.0,Regular(689745640964)
ALIGN,Wyld CBD Sparkling Water,"667625L,4642788,1600134,T075057,2038887,J681616",52,via SKU,1.0,Raspberry 50mg - Single(667625L) | 4 pack(4642788) | Blackberry 50mg - Single(1600134) | Lemon 50mg - Single(T075057) | Orange - Singe(2038887) | Blueberry Pomegranate - Single(J681616)
ALIGN,THCA Pre-Roll,"5671083,Q188573,KKPR,X977028,6737903",50,via SKU,1.0,Fusion (Hybrid)(5671083) | Pineapple Trainwreck (Sativa)(Q188573) | Koma Kone (Indica)(KKPR) | Blue Zushi(X977028) | Venom OG(6737903)
ALIGN,Rest - Wild Berry Nighttime Gummies - CBD + CBN + THC - 15 Count - Indica,689745640537,44,via SKU,1.0,Regular(689745640537)
ALIGN,300mg CBD + CBG Hyaluronic Face and Neck Serum,689745640629,44,via SKU,1.0,Regular(689745640629)
ALIGN,50mg CBD Gummy Bears - Broad Spectrum - 15 Count,689745640704,38,via SKU,1.0,Regular(689745640704)
ALIGN,Brez Lemon ElderFlower Social Tonic,"brez-lemon-elderflower-social-tonic-2-5m,brez-lemon-elderflower-social-tonic-2-5m-1,brez-lemon-elderflower-social-tonic-2-5m-2,brez-lemon-elderflower-social-tonic-5mg-,brez-lemon-elderflower-social-tonic-5mg--1,brez-lemon-elderflower-social-tonic-5mg--2,brez-lemon-elderflower-social-tonic-10mg,brez-lemon-elderflower-social-tonic-10mg-1,brez-lemon-elderflower-social-tonic-10mg-2,139453R,772514Z",35,via SKU,1.0,2.5mg THC - Single(brez-lemon-elderflower-social-tonic-2-5m) | 2.5mg THC - 4-Pack(brez-lemon-elderflower-social-tonic-2-5m-1) | 2.5mg THC - 12-Pack(brez-lemon-elderflower-social-tonic-2-5m-2) | 5mg THC - Single(brez-lemon-elderflower-social-tonic-5mg-) | 5mg THC - 4-Pack(brez-lemon-elderflower-social-tonic-5mg--1) | 5mg THC - 12-Pack(brez-lemon-elderflower-social-tonic-5mg--2) | 10mg THC - Single(brez-lemon-elderflower-social-tonic-10mg) | 10mg THC - 4-Pack(brez-lemon-elderflower-social-tonic-10mg-1) | 10mg THC - 12-Pack(brez-lemon-elderflower-social-tonic-10mg-2) | Amplify Watermelon(139453R) | Amplify Watermelon 4-Pack(772514Z)
ALIGN,"10,000mg CBD Max Strength Muscle & Joint Cream","689745640797,5916911,T275100",34,via SKU,1.0,Large(689745640797) | Regular(5916911) | Sample(T275100)
ALIGN,Single wide classic paper,5311800,31,via SKU,1.0,Regular(5311800)
ALIGN,"3,500mg CBD Oil Drops - Full Spectrum Whole Plant Tincture - Natural Flavor",689745640643,30,via SKU,1.0,Regular(689745640643)
ALIGN,King size paper (black),W306895,26,via SKU,1.0,Regular(W306895)
ALIGN,Diamond Distillate 1G Vape THC Free,Y327780,25,via SKU,1.0,Regular(Y327780)
ALIGN,King size paper,2246763,25,via SKU,1.0,Regular(2246763)
ALIGN,Tips,3395889,23,via SKU,1.0,Regular(3395889)
ALIGN,Moon Rocks (65.25% THCA),"1777013,N668539,Z914873,6722595",18,via SKU,1.0,2.5 Grams(1777013) | 5 Grams(N668539) | 10 Grams(Z914873) | 25 Grams(6722595)
ALIGN,Liquid Serenity - CBD Beverage Enhancer THC Free,R751387,18,via SKU,1.0,6oz Bottle(R751387)
ALIGN,clipper lighter,8446800,18,via SKU,1.0,Regular(8446800)
ALIGN,"3,500mg CBD Oil Drops - Broad Spectrum/THC Free Tincture - Natural Flavor",689745640476,17,via SKU,1.0,Regular(689745640476)
ALIGN,Rise Sample 2ct,Z161463,17,via SKU,1.0,Regular(Z161463)
ALIGN,Deep Sleep Microgels,H862482,16,Deep Sleep Microgels - THC FREE,0.6,Regular(H862482)
ALIGN,Motor Breath (24.55% THCA Indica),"K660783,C397146,7556078,F254391",14,via SKU,1.0,3.5 Grams(K660783) | 7 Grams(C397146) | 14 Grams(7556078) | 28 Grams(F254391)
ALIGN,Rest Sample 2ct,V727538,14,via SKU,1.0,Regular(V727538)
ALIGN,CBD Pet Treats - Peanut Butter Pumpkin 30ct,PETNUGS,12,via SKU,1.0,Regular(PETNUGS)
ALIGN,Kundalini Sherbet (Hybrid- 30.64% THCA),"3225101,289125Y,M925494,J264940",12,Kundalini Sherbet (Hybrid - 30.64% THCA),1.0,3.5 Grams(3225101) | 7 Grams(289125Y) | 14 Grams(M925494) | 28 Grams(J264940)
ALIGN,Healthy Pet CBD Jerky Sticks - Smokey Flavor,689745640490,11,via SKU,1.0,Regular(689745640490)
ALIGN,41 Kings (Indica - 26.31% THCA),"K239116,8041858,Q097725,4813185",11,via SKU,1.0,3.5 Grams(K239116) | 7 Grams(8041858) | 14 Grams(Q097725) | 28 Grams(4813185)
ALIGN,SwitchBlade,113997T,11,via SKU,1.0,Regular(113997T)
ALIGN,Glass Bowl - small,512935X,9,via SKU,1.0,Regular(512935X)
ALIGN,AdaptoBites Functional,C764564,9,via SKU,1.0,Regular(C764564)
ALIGN,Blue Zushi (24.06% THCA Hybrid),"600855T,G084802,K277419,Z453271",9,via SKU,1.0,3.5 Grams(600855T) | 7 Grams(G084802) | 14 Grams(K277419) | 28 Grams(Z453271)
ALIGN,3G Diamond Distillate Vape THC FREE,5433029,9,via SKU,1.0,Regular(5433029)
ALIGN,Ghost OG (Indica - 25.11% THCA),"691107Z,H373449,148046Z,1659487",8,via SKU,1.0,3.5 Grams(691107Z) | 7 Grams(H373449) | 14 Grams(148046Z) | 28 Grams(1659487)
ALIGN,Roasted 5mg THC Coffee,J977529,8,via SKU,1.0,Regular(J977529)
ALIGN,Giraffe Pussy (Sativa Hybrid - 24.42% THCA),"7699231,357124D,7877501,B282149",8,via SKU,1.0,3.5 Grams(7699231) | 7 Grams(357124D) | 14 Grams(7877501) | 28 Grams(B282149)
ALIGN,5mg THC Coco-Zen Chocolate Squares,"cocozen2,cocozen8",7,via SKU,1.0,2 Count(cocozen2) | 8 Count(cocozen8)
ALIGN,Jelly Drip (Hybrid - 31.76% THCA),"903242Y,T518052,V060182,6938575",7,via SKU,1.0,3.5 Grams(903242Y) | 7 Grams(T518052) | 14 Grams(V060182) | 28 Grams(6938575)
ALIGN,Upgrade (Hybrid - 28.53% THCA),"913877E,8298947,1942711,K607019",7,via SKU,1.0,3.5 Grams(913877E) | 7 Grams(8298947) | 14 Grams(1942711) | 28 Grams(K607019)
ALIGN,Blockberry (Hybrid - 25.42% THCA),"E310898,D331813,561339J,680544G",7,Blockberry (Hybrid - 25.42% THCA),1.0,3.5 Grams(E310898) | 7 Grams(D331813) | 14 Grams(561339J) | 28 Grams(680544G)
ALIGN,Mother of Berries (Indica - 14.83% THCA),"F609479,N044091,2148156,6016043",7,Mother of Berries (Indica - 16.91% THCA),0.56,3.5 Grams(F609479) | 7 Grams(N044091) | 14 Grams(2148156) | 28 Grams(6016043)
ALIGN,Kryptonite (Hybrid/Indica - 31.68% THCA),"9827142,343237L,M622978,Y746506",7,Kryptonite (Hybrid - 31.68% THCA),0.83,3.5 Grams(9827142) | 7 Grams(343237L) | 14 Grams(M622978) | 28 Grams(Y746506)
ALIGN,Glass Bubbler - small,N768264,7,via SKU,1.0,Regular(N768264)
ALIGN,Gata' Juice - 25mg THC Drinks,"gata-juice-25mg-thc-drinks-root-beer,685381521926,gata-juice-25mg-thc-drinks-orange-soda,gata-juice-25mg-thc-drinks-lemonade,gata-juice-25mg-thc-drinks-half-half,gata-juice-25mg-thc-drinks-fruit-punch,gata-juice-25mg-thc-drinks-pink-lemonade,gata-juice-25mg-thc-drinks-sweet-tea",6,via SKU,1.0,Root Beer(gata-juice-25mg-thc-drinks-root-beer) | Mountain Tiger(685381521926) | Orange Soda(gata-juice-25mg-thc-drinks-orange-soda) | Lemonade(gata-juice-25mg-thc-drinks-lemonade) | Half & Half(gata-juice-25mg-thc-drinks-half-half) | Fruit Punch(gata-juice-25mg-thc-drinks-fruit-punch) | Pink Lemonade(gata-juice-25mg-thc-drinks-pink-lemonade) | Sweet Tea(gata-juice-25mg-thc-drinks-sweet-tea)
ALIGN,Deep State Live Rosin (87.65% THCA),"DSLR1,DSLR5",6,via SKU,1.0,1 Gram(DSLR1) | 5 Grams(DSLR5)
ALIGN,Papaya Punch Live Resin (85.62% THCA),"289972K,1767776,238309H,P046086",6,Papaya Punch Live Resin (Indica - 82.67% THCA),0.5,2.5 Grams(289972K) | 5 Grams(1767776) | 10 Grams(238309H) | 25 Grams(P046086)
ALIGN,Jack Herer (Sativa - 37.4% THCA),"409945C,K354445,7477972,S595691",6,via SKU,1.0,3.5 Grams(409945C) | 7 Grams(K354445) | 14 Grams(7477972) | 28 Grams(S595691)
ALIGN,Baccio (24.64% THCA) Hybrid,"1690360,4027149,327212A,814989D",6,via SKU,1.0,3.5 Grams(1690360) | 7 Grams(4027149) | 14 Grams(327212A) | 28 Grams(814989D)
ALIGN,Cinderella 99 (Sativa - 25.65% THCA),"481420E,L277028,594974C,753142F",6,via SKU,1.0,3.5 Grams(481420E) | 7 Grams(L277028) | 14 Grams(594974C) | 28 Grams(753142F)
ALIGN,Lambs Breath (Sativa - 23.92% THCA),"581889Q,528866G,R572816,Z681200",6,via SKU,1.0,3.5 Grams(581889Q) | 7 Grams(528866G) | 14 Grams(R572816) | 28 Grams(Z681200)
ALIGN,Twacked Tea 10mg THC,"C680527,693685X,150457Z",6,via SKU,1.0,4 pack(C680527) | Georgia Tea 10mg THC & CBD(693685X) | Cross Fade 10mg THC & CBD(150457Z)
ALIGN,Pineapple Trainwreck (Sativa- 32.58% THCA),"898044F,C240019,B541915,G273282",6,via SKU,1.0,3.5 Grams(898044F) | 7 Grams(C240019) | 14 Grams(B541915) | 28 Grams(G273282)
ALIGN,Glass Bowl - large,223969Y,6,via SKU,1.0,Regular(223969Y)
ALIGN,Afghan Black Hash (79.12% THCA),"afghan2,afghan5,afghan10,afghan20",5,via SKU,1.0,2 Grams(afghan2) | 5 Grams(afghan5) | 10 Grams(afghan10) | 25 Grams(afghan20)
ALIGN,AdaptoJam,369733S,5,via SKU,1.0,Regular(369733S)
ALIGN,Jelly Donut Live Rosin (62.21% THCA),"3275119,6573988",5,via SKU,1.0,1 Gram(3275119) | 5 Grams(6573988)
ALIGN,Rain Shadow Runtz (Hybrid - 29.3% THCA),"834712Q,5008268,6611915,883415T",4,via SKU,1.0,3.5 Grams(834712Q) | 7 Grams(5008268) | 14 Grams(6611915) | 28 Grams(883415T)
ALIGN,Columbian Gold (Sativa - 20.29% THCA),"256104F,R137201,267425B,M863871",4,via SKU,1.0,3.5 Grams(256104F) | 7 Grams(R137201) | 14 Grams(267425B) | 28 Grams(M863871)
ALIGN,Garlic Truffle (Hybrid - 26.01% THCA) SMALLS,"M953089,4610882,8943607,459305P",4,via SKU,1.0,3.5 Grams(M953089) | 7 Grams(4610882) | 14 Grams(8943607) | 28 Grams(459305P)
ALIGN,Ferrari (Sativa - 26.31% THCA),"5519885,1331329,Z065232,7978718",4,via SKU,1.0,3.5 Grams(5519885) | 7 Grams(1331329) | 14 Grams(Z065232) | 28 Grams(7978718)
ALIGN,Grape Frosty (Indica - 30.63% THCA),"K713479,L853656,460010F,5643869",4,via SKU,1.0,3.5 Grams(K713479) | 7 Grams(L853656) | 14 Grams(460010F) | 28 Grams(5643869)
ALIGN,AdaptoSquare,825073W,4,via SKU,1.0,Regular(825073W)
ALIGN,AdaptoBar,X465192,4,via SKU,1.0,Regular(X465192)
ALIGN,Blue Lotus Sweet Dream Sleep Gummies - 5MG Melatonin,6345221,4,Blue Lotus Sweet Dream Sleep Gummies - 5MG Melatonin - THC & CBD FREE,0.73,Regular(6345221)
ALIGN,North Spore Spray & Grow,6855210,4,via SKU,1.0,Regular(6855210)
ALIGN,Pineapple Bang (Sativa- 30.74% THCA),"F494089,9930739,566278X,M494781",4,via SKU,1.0,3.5 Grams(F494089) | 7 Grams(9930739) | 14 Grams(566278X) | 28 Grams(M494781)
ALIGN,Alien Hallucination (Hybrid - 20.5% THCA),"114371Q,311658F,254604X,704893S",4,Alien Hallucination (Hybrid - 31.09% THCA),0.57,3.5 Grams(114371Q) | 7 Grams(311658F) | 14 Grams(254604X) | 28 Grams(704893S)
ALIGN,Orange Krush Live Rosin (62.52% THCA),"P542141,F456423",4,via SKU,1.0,1 Gram(P542141) | 5 Grams(F456423)
ALIGN,Honey Banana Live Rosin (62.31% THCA),"8361551,F390376",4,via SKU,1.0,1 Gram(8361551) | 5 Grams(F390376)
ALIGN,Time Wreck (Sativa - 24.53% THCA),"1904883,584989Z,F924559,X586694",3,via SKU,1.0,3.5 Grams(1904883) | 7 Grams(584989Z) | 14 Grams(F924559) | 28 Grams(X586694)
ALIGN,Blackberry Maple Tier 1 Live Rosin (Indica - 71.70% THCA),"8470211,G349053",3,via SKU,1.0,1 Gram(8470211) | 5 Grams(G349053)
ALIGN,AdaptoBites CBD,930163A,3,via SKU,1.0,Regular(930163A)
ALIGN,Blueberry Muffin (Indica - 28.90% THCA),"H052028,V649743,B482555,597005H",3,via SKU,1.0,3.5 Grams(H052028) | 7 Grams(V649743) | 14 Grams(B482555) | 28 Grams(597005H)
ALIGN,Grape Bubblegum Live Rosin (75.93% THCA),"V482000,446739R",3,via SKU,1.0,1 Gram(V482000) | 5 Grams(446739R)
ALIGN,Benzina Live Rosin (63.51% THCA),"2588985,528881H",3,via SKU,1.0,1 Gram(2588985) | 5 Grams(528881H)
ALIGN,Papaya Crush Live Rosin (62.22% THCA),"J451783,W453742",3,via SKU,1.0,1 Gram(J451783) | 5 Grams(W453742)
ALIGN,Trop Z Live Resin (Sativa - 81.35% THCA),"602138S,T199514,789430Q,6685603",3,Trop Z Live Resin (Sativa - 81.35% THCA),1.0,2.5 Grams(602138S) | 5 Grams(T199514) | 10 Grams(789430Q) | 25 Grams(6685603)
ALIGN,Butane fuel,T943804,3,via SKU,1.0,Regular(T943804)
ALIGN,Liquid Flower CBDA Live Resin Disposable Vape,689745640872,2,via SKU,1.0,Frosted Grapes (Hybrid)(689745640872)
ALIGN,Yak Butter - CBD Flower,"YB3.5,YB7,YB14,YB28",2,via SKU,1.0,3.5 Grams(YB3.5) | 7 Grams(YB7) | 14 Grams(YB14) | 28 Grams(YB28)
ALIGN,Panama Red (Sativa - 28.06% THCA),"655423R,K796750,E547522,L042941",2,via SKU,1.0,3.5 Grams(655423R) | 7 Grams(K796750) | 14 Grams(E547522) | 28 Grams(L042941)
ALIGN,Gumbo (Indica - 24.19% THCA),"P720949,3457356,Z827201,E627572",2,via SKU,1.0,3.5 Grams(P720949) | 7 Grams(3457356) | 14 Grams(Z827201) | 28 Grams(E627572)
ALIGN,GMO (Indica - 24.21% THCA),"K441807,9777112,N324915,H599161",2,via SKU,1.0,3.5 Grams(K441807) | 7 Grams(9777112) | 14 Grams(N324915) | 28 Grams(H599161)
ALIGN,Blue Dream (Sativa - 25.70% THCA),"244706Z,873064Z,D817834,E696289",2,via SKU,1.0,3.5 Grams(244706Z) | 7 Grams(873064Z) | 14 Grams(D817834) | 28 Grams(E696289)
ALIGN,Tangie (Sativa - 26.37% THCA) SMALLS,"582753Q,655112X,L469068,V679974",2,via SKU,1.0,3.5 Grams(582753Q) | 7 Grams(655112X) | 14 Grams(L469068) | 28 Grams(V679974)
ALIGN,Seahorse coil,847154W,2,via SKU,1.0,Regular(847154W)
ALIGN,Biscotti Live Resin (Hybrid - 80.72% THCA),"271439N,H734809,4624798,J526812",2,via SKU,1.0,2.5 Grams(271439N) | 5 Grams(H734809) | 10 Grams(4624798) | 25 Grams(J526812)
ALIGN,Glass Bowl piece - accessory,638296A,2,via SKU,1.0,Regular(638296A)
ALIGN,Small Diamonds (99.17% THCA),"DIA2,179081A,DIA10,DIA25",1,via SKU,1.0,2 Grams(DIA2) | 5 Grams(179081A) | 10 Grams(DIA10) | 25 Grams(DIA25)
ALIGN,Lazer Fuel (Hybrid - 25.99% THCA),"2479320,171954V,149068M,8075778",1,via SKU,1.0,3.5 Grams(2479320) | 7 Grams(171954V) | 14 Grams(149068M) | 28 Grams(8075778)
ALIGN,Cap Junky (Hybrid- 32.13% THCA),"4975570,C250138,H660164,B600211",1,via SKU,1.0,3.5 Grams(4975570) | 7 Grams(C250138) | 14 Grams(H660164) | 28 Grams(B600211)
ALIGN,Sherb Cream Pie (Indica - 26.01% THCA),"P237037,833580V,F227709,4334064",1,via SKU,1.0,3.5 Grams(P237037) | 7 Grams(833580V) | 14 Grams(F227709) | 28 Grams(4334064)
ALIGN,Temple Lemonade Live Rosin (73.1% THCA),"2931766,876441T",1,via SKU,1.0,1 Gram(2931766) | 5 Grams(876441T)
ALIGN,Crunchy Lime,"B139277,573860C",1,via SKU,1.0,Single Can(B139277) | 4-Pack(573860C)
ALIGN,Peakpro powerdock,592445R,1,via SKU,1.0,Regular(592445R)
ALIGN,Puffco proxy,192145A,1,via SKU,1.0,Regular(192145A)
ALIGN,Puffco Peak Pro,323394K,1,via SKU,1.0,Regular(323394K)
ALIGN,AdaptoBites 5mg,211357M,1,via SKU,1.0,Regular(211357M)
ALIGN,GMO Live Resin  (86.58% THCA),"750971F,383059M,1854353,J370035",1,via SKU,1.0,2.5 Grams(750971F) | 5 Grams(383059M) | 10 Grams(1854353) | 25 Grams(J370035)
ALIGN,Helium (Hybrid - 31.76% THCA),"327967R,8391604,256955Y,S796518",1,Helium (indica - 31.76% THCA),0.67,3.5 Grams(327967R) | 7 Grams(8391604) | 14 Grams(256955Y) | 28 Grams(S796518)
REVIEW,Blitzd THC Seltzer Drinks,"blitzd-thc-seltzer-drinks-single-blood-o,blitzd-thc-seltzer-drinks-4-pack-blood-o,blitzd-thc-seltzer-drinks-24-case-blood-,blitzd-thc-seltzer-drinks-single-waterme,blitzd-thc-seltzer-drinks-4-pack-waterme,blitzd-thc-seltzer-drinks-24-case-waterm",0,Gata 25mg THC Drinks,0.33,Single - Blood Orange(blitzd-thc-seltzer-drinks-single-blood-o) | 4-Pack - Blood Orange(blitzd-thc-seltzer-drinks-4-pack-blood-o) | 24-Case - Blood Orange(blitzd-thc-seltzer-drinks-24-case-blood-) | Single - Watermelon(blitzd-thc-seltzer-drinks-single-waterme) | 4-Pack - Watermelon(blitzd-thc-seltzer-drinks-4-pack-waterme) | 24-Case - Watermelon(blitzd-thc-seltzer-drinks-24-case-waterm)
ALIGN,THC Knockout Krispy Cereal Bars,"FRUITY,CINNA,COCO",0,via SKU,1.0,Fruity Pebbles(FRUITY) | Cinnamon Toast Crunch(CINNA) | Coco Crunch(COCO)
ALIGN,Pre-Packed Chillum,689745640773,0,via SKU,1.0,Regular(689745640773)
ALIGN,Healthy Pet Broad Spectrum 250mg CBD Tincture,689745640520,0,via SKU,1.0,Regular(689745640520)
ALIGN,"3,500 CBD + CBG Menthol Warming Relief Roll-On",689745640698,0,via SKU,1.0,Regular(689745640698)
ALIGN,"1,200mg CBD + CBG Skin Repair Lotion",689745640711,0,via SKU,1.0,Regular(689745640711)
ALIGN,Brez Dream Relaxing Tonic,"brez-dream-relaxing-tonic-single-can,brez-dream-relaxing-tonic-4-pack,brez-dream-relaxing-tonic-12-pack",0,via SKU,1.0,Single Can(brez-dream-relaxing-tonic-single-can) | 4-Pack(brez-dream-relaxing-tonic-4-pack) | 12-Pack(brez-dream-relaxing-tonic-12-pack)
REVIEW,Kept Secret (Indica - 31.2% THCA),"R270905,C515284,322855N,725277X",0,Dragon (Indica - 31.29% THCA),0.43,3.5 Grams(R270905) | 7 Grams(C515284) | 14 Grams(322855N) | 28 Grams(725277X)
REVIEW,Red Thai (Sativa - 29.62% THCA),"red-thai-sativa-29-62-thca-3-5-grams,red-thai-sativa-29-62-thca-7-grams,red-thai-sativa-29-62-thca-14-grams,red-thai-sativa-29-62-thca-28-grams",0,Columbian Gold (Sativa - 20.29% THCA),0.33,3.5 Grams(red-thai-sativa-29-62-thca-3-5-grams) | 7 Grams(red-thai-sativa-29-62-thca-7-grams) | 14 Grams(red-thai-sativa-29-62-thca-14-grams) | 28 Grams(red-thai-sativa-29-62-thca-28-grams)
ALIGN,Greasy Runtz (Indica - 29.31% THCA),"greasy-runtz-indica-29-31-thca-3-5-grams,greasy-runtz-indica-29-31-thca-7-grams,greasy-runtz-indica-29-31-thca-14-grams,greasy-runtz-indica-29-31-thca-28-grams",0,Dragon (Indica - 31.29% THCA),0.57,3.5 Grams(greasy-runtz-indica-29-31-thca-3-5-grams) | 7 Grams(greasy-runtz-indica-29-31-thca-7-grams) | 14 Grams(greasy-runtz-indica-29-31-thca-14-grams) | 28 Grams(greasy-runtz-indica-29-31-thca-28-grams)
ALIGN,Jungle Lava (Indica - 30.17% THCA),"jungle-lava-indica-30-17-thca-3-5-grams,jungle-lava-indica-30-17-thca-7-grams,jungle-lava-indica-30-17-thca-14-grams,jungle-lava-indica-30-17-thca-28-grams",0,via SKU,1.0,3.5 Grams(jungle-lava-indica-30-17-thca-3-5-grams) | 7 Grams(jungle-lava-indica-30-17-thca-7-grams) | 14 Grams(jungle-lava-indica-30-17-thca-14-grams) | 28 Grams(jungle-lava-indica-30-17-thca-28-grams)
ALIGN,Purple Pop Rocks (Hybrid - 29.56% THCA),"purple-pop-rocks-hybrid-29-56-thca-3-5-g,purple-pop-rocks-hybrid-29-56-thca-7-gra,purple-pop-rocks-hybrid-29-56-thca-14-gr,purple-pop-rocks-hybrid-29-56-thca-28-gr",0,via SKU,1.0,3.5 Grams(purple-pop-rocks-hybrid-29-56-thca-3-5-g) | 7 Grams(purple-pop-rocks-hybrid-29-56-thca-7-gra) | 14 Grams(purple-pop-rocks-hybrid-29-56-thca-14-gr) | 28 Grams(purple-pop-rocks-hybrid-29-56-thca-28-gr)
REVIEW,Moonblend (Hybrid - 29.38% THCA),"moonblend-hybrid-29-38-thca-3-5-grams,moonblend-hybrid-29-38-thca-7-grams,moonblend-hybrid-29-38-thca-14-grams,moonblend-hybrid-29-38-thca-28-grams",0,Jack Fruit(Hybrid- 29.89% THCA),0.38,3.5 Grams(moonblend-hybrid-29-38-thca-3-5-grams) | 7 Grams(moonblend-hybrid-29-38-thca-7-grams) | 14 Grams(moonblend-hybrid-29-38-thca-14-grams) | 28 Grams(moonblend-hybrid-29-38-thca-28-grams)
ALIGN,Upgrade (Hybrid - 28.53% THCA),"UG3.5,UG7,UG14,UG28",0,Upgrade (Hybrid - 28.53% THCA),1.0,3.5 Grams(UG3.5) | 7 Grams(UG7) | 14 Grams(UG14) | 28 Grams(UG28)
REVIEW,Papaya (Hybrid - 24.69% THCA),"PAP3.5,PAP7,PAP14,PAP28",0,Ambrosia Gold Papaya Crumble (Hybrid - 86.24% THCA),0.44,3.5 Grams(PAP3.5) | 7 Grams(PAP7) | 14 Grams(PAP14) | 28 Grams(PAP28)
REVIEW,Sin Mint Cookies (Hybrid - 25.13% THCA),"549463D,889603S,M901419,892761A",0,Blockberry (Hybrid - 25.42% THCA),0.33,3.5 Grams(549463D) | 7 Grams(889603S) | 14 Grams(M901419) | 28 Grams(892761A)
REVIEW,Triangle Mintz (Hybrid - 25.01% THCA),"121197P,9823012,W103627,R320676",0,Blockberry (Hybrid - 25.42% THCA),0.38,3.5 Grams(121197P) | 7 Grams(9823012) | 14 Grams(W103627) | 28 Grams(R320676)
ALIGN,Ambrosia Gold Papaya Crumble (Hybrid - 86.24% THCA),"agpap2.5,agpap5,agpap10,agpap25",0,via SKU,1.0,2.5 Grams(agpap2.5) | 5 Grams(agpap5) | 10 Grams(agpap10) | 25 Grams(agpap25)
ALIGN,Ambrosia Gold Carbon Fiber Crumble (89.03% THCA),"V590767,420113Q,368819L,144947F",0,via SKU,1.0,2.5 Grams(V590767) | 5 Grams(420113Q) | 10 Grams(368819L) | 25 Grams(144947F)
ALIGN,Ambrosia Gold Runtz Crumble (89.32% THCA),"agruntz2.5,agruntz5,agruntz10,agruntz25",0,via SKU,1.0,2.5 Grams(agruntz2.5) | 5 Grams(agruntz5) | 10 Grams(agruntz10) | 25 Grams(agruntz25)
ALIGN,Nigerian Haze Live Rosin (THCA 77.46%),"NHLR1,NHLR5,2605403",0,via SKU,1.0,1 Gram(NHLR1) | 5 Grams(NHLR5) | 25 Grams(2605403)
